id,name,symbol,slug,cmc_rank,max_supply,circulating_supply,total_supply,date_added,last_updated,price,volume_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap,tags
6892,MultiversX,EGLD,multiversx-egld,105,31415926.0,28007860.72681545,28050818.0,2020-09-04T00:00:00.000Z,2025-03-22T17:10:00.000Z,18.31677621750575,15188366.86356862,0.94361701,2.70518121,0.09763217,-18.68259195,-42.88430024,-45.78977688,513013717.26414657,0.0186,575438486.21,"pos,enterprise-solutions,distributed-computing,loyalty,defi,gaming,identity,payments,scaling,smart-contracts,software,binance-launchpad,binance-labs-portfolio,metaverse,electric-capital-portfolio,exnetwork-capital-portfolio,mobile-payment,web3,elrond-ecosystem,injective-ecosystem,layer-1,dwf-labs-portfolio,multiversx-ecosystem,depin"
2563,TrueUSD,TUSD,trueusd,106,,495516083.0,495516083.0,2018-03-06T00:00:00.000Z,2025-03-22T17:11:00.000Z,0.9991359205669473,48484717.12864637,0.00088139,0.02337767,-0.00471125,0.07112807,0.00913528,-0.1400677,495087917.7439329,0.0179,495087917.74,"store-of-value,stablecoin,asset-backed-stablecoin,avalanche-ecosystem,arbitrum-ecosystem,usd-stablecoin,fiat-stablecoin,tron20-ecosystem"
1437,Zcash,ZEC,zcash,107,21000000.0,15886821.0,15905531.0,2016-10-29T00:00:00.000Z,2025-03-22T17:11:00.000Z,30.77165424782159,69011648.66578178,1.18347706,-2.31607322,-3.85732593,-16.51822667,-37.3309403,-46.29798447,488863762.9090313,0.0177,646204739.2,"mineable,pow,equihash,medium-of-exchange,privacy,zero-knowledge-proofs,binance-chain,boostvc-portfolio,dcg-portfolio,electric-capital-portfolio,fenbushi-capital-portfolio,hashkey-capital-portfolio,winklevoss-capital-portfolio,placeholder-ventures-portfolio,pantera-capital-portfolio,standard-crypto-portfolio,2017-2018-alt-season,made-in-america"
14101,Ronin,RON,ronin,108,1000000000.0,619389698.9641546,1000000000.0,2021-11-08T17:57:40.000Z,2025-03-22T17:10:00.000Z,0.7806618376397458,3709819.60282573,0.54161211,2.29666978,-2.70160242,-37.09132863,-56.01412849,-57.9120551,483533900.60848594,0.0175,780661837.64,"platform,gaming,staking,layer-1,ronin-ecosystem"
29420,Virtuals Protocol,VIRTUAL,virtual-protocol,109,1000000000.0,649501196.0173594,1000000000.0,2024-02-15T07:33:29.000Z,2025-03-22T17:10:00.000Z,0.7395334389153108,152384198.7717267,-0.19759992,8.06953416,1.5144392,-27.97515886,-71.33979366,-69.0805282,480327853.07032514,0.0174,739533438.92,"ai-big-data,ethereum-ecosystem,solana-ecosystem,metaverse,generative-ai,base-ecosystem,ai-agents,virtuals-protocol-ecosystem,binance-alpha,ai-agent-launchpad"
5632,Arweave,AR,arweave,110,66000000.0,65652466.0,65652466.0,2020-05-27T00:00:00.000Z,2025-03-22T17:11:00.000Z,7.148521186645055,34977162.94535881,-0.64562016,6.90826606,7.64023437,-29.85595306,-51.59914462,-56.24678887,469318044.1564941,0.017,471802398.32,"distributed-computing,filesharing,storage,coinbase-ventures-portfolio,solana-ecosystem,arrington-xrp-capital-portfolio,blockchain-capital-portfolio,a16z-portfolio,multicoin-capital-portfolio,web3,egirl-capital-portfolio,depin,cmc-crypto-yearbook-2024-2025"
28081,SPX6900,SPX,spx6900,111,1000000000.0,930993090.07,930993090.07,2023-08-17T10:00:00.000Z,2025-03-22T17:10:00.000Z,0.4932383564507165,21954787.81841432,0.00558638,12.04757134,23.63618216,-28.12357876,-65.6273899,-26.86967177,459201501.6131007,0.0166,493238356.45,"memes,ethereum-ecosystem,solana-ecosystem,base-ecosystem"
22691,Starknet,STRK,starknet-token,112,10000000000.0,2743505868.988425,10000000000.0,2024-02-20T12:19:19.000Z,2025-03-22T17:11:00.000Z,0.16697377827566437,22273330.33740592,-0.10866891,2.37001296,-10.22954143,-27.10495257,-56.7802617,-65.260077,458093540.6664571,0.0166,1669737782.76,"zero-knowledge-proofs,dapp,ethereum-ecosystem,layer-2,rollups,starknet-ecosystem"
7334,Conflux,CFX,conflux-network,113,,5023259244.69,5110759264.17,2020-11-11T00:00:00.000Z,2025-03-22T17:11:00.000Z,0.09112201495791022,30632018.68911855,1.31114837,4.67641462,6.97697092,-22.45630989,-41.11506109,-41.30330675,457729504.03210294,0.0166,465702682.12,"mineable,pow,platform,collectibles-nfts,defi,payments,research,smart-contracts,staking,hybrid-pow-dpos,huobi-capital-portfolio,web3,injective-ecosystem,dwf-labs-portfolio"
33597,Fartcoin,FARTCOIN,fartcoin,114,1000000000.0,999998256.0,1000000000.0,2024-10-23T17:42:55.000Z,2025-03-22T17:11:00.000Z,0.4536585224010634,147273543.870822,-1.02095309,22.77945203,36.41520812,34.07764604,-73.86279735,-41.46999167,453657731.22060037,0.0164,453658522.4,"memes,solana-ecosystem,ai-memes,pump-fun-ecosystem,terminal-of-truths,binance-alpha"
